,val
0,0.026838055
1,0.022290066
2,0.02662142
3,0.026033783
4,0.025818245
5,0.025773475
6,0.028040303
7,0.026232343
8,0.02272771
9,0.022133885
10,0.026789712
11,0.024075223
12,0.021929616
13,0.020800527
14,0.021711463
15,0.02125516
16,0.02363724
17,0.026977327
18,0.025153672
19,0.026730396
20,0.021865964
21,0.027550263
22,0.02260413
23,0.021685073
24,0.021585243
25,0.025852771
26,0.025972366
27,0.024556478
28,0.024330009
29,0.026203018
30,0.022617796
31,0.02276597
32,0.026925256
33,0.022192204
34,0.021863727
35,0.024271643
36,0.023391863
37,0.022003021
38,0.021631494
39,0.023815082
40,0.027425388
41,0.022461796
42,0.02307806
43,0.026895814
44,0.019696962
45,0.021736361
46,0.025763545
47,0.025715092
48,0.024899377
49,0.025323678
50,0.026821183
51,0.026162943
52,0.026119849
53,0.024410771
54,0.026479522
55,0.021751028
56,0.022738568
57,0.023060005
58,0.025419233
59,0.0245171
60,0.026656602
61,0.026694454
62,0.02469405
63,0.025284003
64,0.024703756
65,0.023117837
66,0.021808883
67,0.021360114
68,0.023744743
69,0.026005046
70,0.021736655
71,0.0262529
72,0.021796059
73,0.02340848
74,0.026714768
75,0.025453381
76,0.025414497
77,0.02714837
78,0.026639199
79,0.021908421
80,0.026284296
81,0.02707873
82,0.020475851
83,0.024392404
84,0.024425248
85,0.024023443
86,0.021207616
87,0.024969812
88,0.0266414
89,0.02513007
90,0.021524772
91,0.026864113
92,0.022109278
93,0.020999718
94,0.026004948
95,0.021610009
96,0.017564636
97,0.025098292
98,0.025808735
99,0.028220208
100,0.021073526
101,0.021469414
102,0.025851913
103,0.02264493
104,0.024623577
105,0.026343897
106,0.021869553
107,0.01964749
108,0.023270791
109,0.028276999
110,0.02277448
111,0.022375407
112,0.023601046
113,0.018027721
114,0.025712226
115,0.021955112
116,0.025746908
117,0.02514117
118,0.022789646
119,0.02583666
120,0.024274543
121,0.024899168
122,0.02604741
123,0.023057992
124,0.0219437
125,0.020909544
126,0.023969676
127,0.021422442
128,0.025010314
129,0.02158641
130,0.02439132
131,0.026315859
132,0.026037088
133,0.025573418
134,0.022462863
135,0.020948587
136,0.024222061
137,0.026015203
138,0.01954027
139,0.02638231
140,0.026170878
141,0.025832849
142,0.026993422
143,0.021607026
144,0.024722328
145,0.023374215
146,0.022224126
147,0.026152177
148,0.024228783
149,0.02706168
150,0.023760073
151,0.021677982
152,0.023820844
153,0.023980048
154,0.026492018
155,0.021992866
156,0.026234614
157,0.024227532
158,0.02767407
159,0.024295067
160,0.022702677
161,0.025054669
162,0.023181193
163,0.026624892
164,0.025058387
165,0.02652114
166,0.028366268
167,0.025790913
168,0.022489507
169,0.02533913
170,0.025965184
171,0.025479184
172,0.0218684
173,0.026288712
174,0.02299099
175,0.024222404
176,0.021411167
177,0.02368221
178,0.026065169
179,0.026045524
180,0.025650512
181,0.021176655
182,0.021463694
183,0.02291921
184,0.024027234
185,0.02613066
186,0.02195666
187,0.02691555
188,0.026623797
189,0.024185564
190,0.021028148
191,0.026482383
192,0.021826897
193,0.0221601
194,0.022416336
195,0.021439701
196,0.02509029
197,0.026247408
198,0.026975086
199,0.024190608
200,0.02601033
201,0.025718385
202,0.024386622
203,0.022451542
204,0.02608279
205,0.022621782
206,0.021876104
207,0.022344505
208,0.020622015
209,0.027220253
210,0.022988237
211,0.025284931
212,0.02086119
213,0.022020986
214,0.022275444
215,0.025933316
216,0.022289935
217,0.026460782
218,0.025326675
219,0.026029859
220,0.021767814
221,0.021265587
222,0.026791483
223,0.022092516
224,0.027335104
225,0.02002332
226,0.025898756
227,0.024652196
228,0.025638651
229,0.02500715
230,0.026179472
231,0.022278873
232,0.022015877
233,0.02350815
234,0.022072036
235,0.022870017
236,0.023912454
237,0.02647338
238,0.026065659
239,0.024349289
240,0.022233417
241,0.026617063
242,0.022829704
243,0.025551884
244,0.022083314
245,0.022405535
246,0.02194988
247,0.027103866
248,0.025669526
249,0.02123165
250,0.023840798
251,0.024629274
252,0.023889069
253,0.027169868
254,0.02487008
255,0.021894483
256,0.027103256
257,0.026322361
258,0.02149996
259,0.020971818
260,0.026240323
261,0.026028419
262,0.025631819
263,0.02265174
264,0.026054397
265,0.023698851
266,0.024206895
267,0.020868523
268,0.024340183
269,0.023072792
270,0.026889449
271,0.0226682
272,0.021266112
273,0.021272693
274,0.026475005
275,0.028173516
276,0.025487
277,0.024103679
278,0.026488662
279,0.022033775
280,0.023801789
281,0.022258963
282,0.02159172
283,0.02311156
284,0.025605466
285,0.023116956
286,0.02102479
287,0.025889466
288,0.02260837
289,0.02597546
290,0.024254017
291,0.028146584
292,0.022344122
293,0.022262737
294,0.026225906
295,0.022148777
296,0.025328057
297,0.020761201
298,0.025919786
299,0.021299485
300,0.027199816
301,0.026102846
302,0.022388697
303,0.025463182
304,0.025533078
305,0.026747879
306,0.026304878
307,0.02501158
308,0.02680843
309,0.020291392
310,0.0258175
311,0.021672666
312,0.022097522
313,0.020047296
314,0.02199508
315,0.026190378
316,0.021998877
317,0.02313802
318,0.020194663
319,0.022276245
320,0.026409062
321,0.020768268
322,0.026476208
323,0.021227885
324,0.022222387
325,0.024051767
326,0.024201985
327,0.026169315
328,0.026508445
329,0.02637132
330,0.02612062
331,0.022008508
332,0.026630033
333,0.021440722
334,0.021651292
335,0.022508062
336,0.02067584
337,0.019887492
338,0.026881862
339,0.023196783
340,0.026838927
341,0.022621023
342,0.027445007
343,0.026901618
344,0.02532851
345,0.027122661
346,0.021777261
347,0.02451198
348,0.025298515
349,0.026295891
350,0.025741586
351,0.022195816
352,0.025525272
353,0.026864642
354,0.024981929
355,0.022186637
356,0.024029195
357,0.026248546
358,0.02576087
359,0.02291302
360,0.020803362
361,0.024819635
362,0.025611881
363,0.024214301
364,0.022187905
365,0.026723456
366,0.025987828
367,0.025720619
368,0.025487138
369,0.026830725
370,0.024567664
371,0.028550195
372,0.022402424
373,0.020529745
374,0.021400502
375,0.020779306
376,0.026613804
377,0.024998514
378,0.021959886
379,0.021423522
380,0.022981208
381,0.02537117
382,0.02650172
383,0.025989864
384,0.026185539
385,0.023841564
386,0.025682023
387,0.026278008
388,0.021553492
389,0.026244082
390,0.021268405
391,0.026998082
392,0.024474839
393,0.026392348
394,0.025414597
395,0.021249216
396,0.023426665
397,0.023275474
398,0.024484653
399,0.020989047
400,0.026688373
401,0.021710377
402,0.028187321
403,0.027102185
404,0.025270365
405,0.024179028
406,0.02465716
407,0.022532135
408,0.026154308
409,0.02180617
410,0.026784336
411,0.026663011
412,0.023542637
413,0.021871407
414,0.021378014
415,0.026377883
416,0.026026161
417,0.022007097
418,0.021386733
419,0.026433377
420,0.025657697
421,0.022158813
422,0.021765592
423,0.023227451
424,0.026796514
425,0.023990227
426,0.027294854
427,0.021516055
428,0.026461476
429,0.021775868
430,0.023687912
431,0.022037556
432,0.023651674
433,0.025870478
434,0.021343157
435,0.026186476
436,0.02228016
437,0.023317777
438,0.027523533
439,0.023817599
440,0.022020843
441,0.021041894
442,0.02278733
443,0.02718364
444,0.02579283
445,0.026293881
446,0.02198473
447,0.023489298
448,0.021594752
449,0.026404671
450,0.021846892
451,0.020384487
452,0.026358558
453,0.027157588
454,0.020903405
455,0.021706339
456,0.026459435
457,0.026510445
458,0.021906115
459,0.026864039
460,0.025162501
461,0.026396744
462,0.026760338
463,0.02156834
464,0.026298515
465,0.026965031
466,0.022040546
467,0.025848333
468,0.026655328
469,0.027154995
470,0.023510098
471,0.024519347
472,0.021758424
473,0.023005862
474,0.024252232
475,0.026435582
476,0.022350227
477,0.023752527
478,0.02208287
479,0.023051638
480,0.023245672
481,0.021984616
482,0.021167476
483,0.025136784
484,0.025054064
485,0.024836352
486,0.02589071
487,0.023374226
488,0.020360695
489,0.026139682
490,0.02053266
491,0.021268107
492,0.026324192
493,0.023913383
494,0.022188786
495,0.022364855
496,0.02685137
497,0.024021052
498,0.026716169
499,0.020566558
500,0.021692734
501,0.026012849
502,0.025873374
503,0.021610392
504,0.021807633
505,0.022041246
506,0.024427284
507,0.025615
508,0.02028685
509,0.02081164
510,0.027257519
511,0.026628029
512,0.020685555
513,0.02524026
514,0.026767367
515,0.022017084
