,val
0,0.9999666
1,1.0183741e-08
2,1.0648774e-09
3,6.17108e-11
4,0.96208084
5,1.0658273e-11
6,2.8768532e-09
7,2.4980207e-07
8,4.445617e-11
9,4.2403108e-09
10,1.1453136e-09
11,4.2334256e-09
12,9.236587e-09
13,7.248014e-05
14,4.9034066e-10
15,2.0983984e-08
16,1.5461415e-05
17,4.1625386e-10
18,2.7271028e-09
19,4.8729703e-08
20,5.0533362e-11
21,1.347665e-09
22,2.7134796e-05
23,0.00092916755
24,3.413602e-11
25,3.9242706e-10
26,5.68969e-10
27,1.079017e-10
28,6.2454516e-12
29,1.0189622e-09
30,7.855369e-05
31,1.9577577e-09
32,7.701931e-12
33,1.5880729e-10
34,9.855484e-07
35,2.5840899e-11
36,8.619422e-12
37,2.471762e-09
38,2.3476719e-11
39,2.758995e-10
40,2.8197292e-10
41,3.7438186e-12
42,0.0013171498
43,6.882171e-11
44,5.858091e-08
45,1.0416232e-09
46,9.652831e-07
47,8.483505e-09
48,3.649645e-07
49,1.6648148e-08
50,4.112677e-11
51,3.4498723e-10
52,8.817127e-09
53,6.292146e-11
54,3.4750223e-09
55,1.2184477e-09
56,0.00016424338
57,2.0896734e-10
58,8.9141156e-10
59,0.0002778701
60,6.357551e-12
61,4.5205808e-11
62,2.3144243e-05
63,1.7773118e-11
64,1.978899e-08
65,6.059387e-12
66,4.3159525e-12
67,7.868109e-09
68,0.3722131
69,8.21441e-12
70,2.1243642e-09
71,6.0499694e-10
72,3.714973e-09
73,3.8787458e-09
74,0.9998092
75,5.3933693e-09
76,2.2386384e-08
77,2.416388e-09
78,2.7118078e-12
79,9.991813e-10
80,0.009920716
81,0.00041038508
82,7.393195e-09
83,1.1127518e-06
84,2.8682007e-10
85,0.9983773
86,0.0032802005
87,4.3343865e-10
88,5.1269335e-08
89,6.057818e-11
90,1.9856146e-11
91,0.00013878758
92,4.044258e-09
93,4.7421342e-09
94,8.8141794e-10
95,1.652914e-09
96,5.1436952e-11
97,0.9999896
98,2.4199396e-09
99,8.89724e-12
100,0.99868447
101,7.605507e-09
102,0.86397713
103,4.26247e-10
104,7.2928906e-08
105,1.9215197e-11
106,1.8790325e-10
107,5.197168e-10
108,2.072587e-12
109,9.0161385e-12
110,0.7809941
111,1.5790592e-07
112,1.0766863e-09
113,6.567523e-05
114,5.742318e-09
115,4.377525e-09
116,2.9199063e-09
117,1.3045346e-07
118,6.1142195e-08
119,2.52851e-10
120,2.5494157e-10
121,1.833129e-10
122,3.3132563e-11
123,1.067393e-09
124,6.643151e-09
125,0.0016950897
126,2.3385898e-08
127,3.2123456e-08
128,5.6470568e-11
129,8.308295e-11
130,1.365851e-10
131,4.079934e-05
132,8.3302485e-09
133,6.5931783e-12
134,1.0431571e-07
135,1.13104595e-10
136,2.5240443e-09
137,2.6598768e-10
138,1.9403798e-05
139,4.2576517e-05
140,8.32883e-10
141,0.99965036
142,9.245152e-09
143,7.608489e-11
144,1.7465479e-09
145,2.5989527e-07
146,2.8638533e-11
147,1.3740284e-08
148,0.99996233
149,2.4452154e-10
150,5.78764e-07
151,0.024819775
152,4.3422563e-07
153,2.2067678e-11
154,2.7548436e-08
155,4.3940966e-09
156,6.228319e-09
157,1.9888127e-08
158,6.946304e-11
159,0.00012749886
160,2.0385699e-10
161,0.9993112
162,6.001346e-09
163,0.087184735
164,7.2681003e-09
165,9.863687e-08
166,2.53297e-10
167,1.0672799e-11
168,7.96139e-12
169,3.3642613e-09
170,1.6239315e-11
171,9.865427e-10
172,1.7654143e-09
173,6.520447e-11
174,1.1670538e-10
175,2.4888271e-08
176,1.40999495e-11
177,0.72580963
178,8.3476764e-10
179,0.7269608
180,1.0422412e-09
181,0.0028125204
182,0.039975267
183,0.99995756
184,3.2338622e-08
185,7.0615386e-10
186,5.2213054e-06
187,1.7570974e-08
188,3.0914074e-10
189,2.2314782e-06
190,8.335453e-11
191,5.63731e-10
192,1.3981233e-11
193,1.1040144e-08
194,0.91825616
195,8.252741e-09
196,0.99996877
197,1.4275439e-06
198,6.8942027e-12
199,5.418092e-10
200,1.1895342e-10
201,4.859964e-09
202,3.331408e-09
203,5.0678217e-08
204,4.205936e-11
205,3.8839165e-11
206,4.55757e-09
207,8.54509e-08
208,1.713189e-08
209,8.434481e-11
210,4.997734e-10
211,2.751319e-09
212,3.6455587e-09
213,0.001654651
214,1.444885e-07
215,5.90812e-06
216,0.47418427
217,8.000023e-12
218,5.5316026e-08
219,2.9617557e-09
220,2.8962055e-09
221,5.8544587e-09
222,7.406289e-10
223,1.7246484e-05
224,9.356431e-06
225,1.02334944e-07
226,4.35829e-12
227,0.000754862
228,0.31929928
229,2.6821885e-08
230,2.205513e-08
231,1.7856112e-09
232,2.172991e-06
233,2.0089914e-07
234,7.73023e-09
235,3.5514795e-08
236,8.7423846e-10
237,7.88701e-09
238,1.2969251e-08
239,4.5818704e-09
240,3.6600697e-10
241,1.16210486e-10
242,1.3356231e-08
243,1.6841809e-06
244,6.838931e-09
245,2.0566258e-09
246,8.0115414e-11
247,3.473094e-09
248,1.3297627e-10
249,3.7425946e-10
250,2.2572486e-10
251,6.9833774e-08
252,9.132724e-12
253,0.99962175
254,8.26444e-10
255,6.04723e-08
256,1.1038417e-08
257,4.1853634e-10
258,0.73287106
259,7.972719e-05
260,4.2390975e-09
261,1.2776635e-08
262,6.8395467e-12
263,1.3443236e-07
264,9.304054e-10
265,9.016573e-11
266,0.9999424
267,6.95139e-12
268,1.01437905e-07
269,0.0008072074
270,9.34185e-12
271,1.4914888e-06
272,6.4027783e-10
273,4.107948e-07
274,1.8001496e-11
275,0.99982685
276,5.31936e-10
277,6.2858334e-08
278,6.3390742e-12
279,6.1500854e-10
280,2.382716e-10
281,3.5986284e-07
282,7.8159335e-10
283,1.6995092e-09
284,7.343468e-10
285,3.2060272e-09
286,7.625069e-10
